date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:01:32	21219/21219	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:01:37%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=57&Itemid=166	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index2222.html	(from https://reinter2.furg.br/)
16:01:33	19791/19791	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:01:38%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=27&Itemid=212	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/indexa030.html	(from https://reinter2.furg.br/)
16:01:33	20338/20338	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:01:38%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=20&Itemid=479	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index0bf8.html	(from https://reinter2.furg.br/)
16:01:34	23520/23520	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:01:39%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=24&Itemid=218	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index98bd.html	(from https://reinter2.furg.br/)
16:01:35	22722/22722	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:01:40%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=26&Itemid=213	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index3134.html	(from https://reinter2.furg.br/)
16:01:36	21621/21621	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:01:41%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=25&Itemid=214	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index767d.html	(from https://reinter2.furg.br/)
16:01:36	23801/23801	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:01:41%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=52&Itemid=168	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index0a77.html	(from https://reinter2.furg.br/)
16:01:37	18842/18842	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:01:42%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=70&Itemid=169	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index1818.html	(from https://reinter2.furg.br/)
16:01:37	20680/20680	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:01:42%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=53&Itemid=285	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index2375.html	(from https://reinter2.furg.br/)
16:01:38	32174/32174	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:01:43%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=category&id=18&Itemid=137	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index810a.html	(from https://reinter2.furg.br/)
16:01:38	30015/30015	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:01:43%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=category&id=18&filter_tag[0]=8&Itemid=513	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/indexcef2.html	(from https://reinter2.furg.br/)
16:01:39	16363/16363	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:01:44%20GMT	https://reinter2.furg.br/index.php?option=com_wrapper&view=wrapper&Itemid=515	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index7f70.html	(from https://reinter2.furg.br/)
16:01:40	26791/26791	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:01:45%20GMT	https://reinter2.furg.br/index.php?option=com_tags&view=tag&layout=list&id[0]=2&types[0]=1&Itemid=154	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index0178.html	(from https://reinter2.furg.br/)
